date,product_id,product_name,category,region,units_sold,unit_price,sales_rep,notes
2023-01-01,PRD-001,Industrial Conveyor Belt,Material Handling,Midwest,0,89.5,Sarah Chen,
2023-01-01,PRD-001,Industrial Conveyor Belt,Material Handling,South,151,89.5,Diana Torres,
2023-01-01,PRD-002,Hydraulic Actuator,Fluid Power,Midwest,192,142.0,Sarah Chen,
2023-01-01,PRD-002,Hydraulic Actuator,Fluid Power,South,128,142.0,Diana Torres,
2023-01-01,PRD-003,Legacy Control Panel,Electrical,Midwest,208,215.0,Sarah Chen,
2023-01-01,PRD-003,Legacy Control Panel,Electrical,South,138,215.0,Diana Torres,
2023-01-01,PRD-004,Smart Sensor Module,Automation,Midwest,0,445.0,Sarah Chen,
2023-01-01,PRD-004,Smart Sensor Module,Automation,South,0,445.0,Diana Torres,
2023-01-01,PRD-005,Custom Valve Assembly,Fluid Power,Midwest,0,387.5,Sarah Chen,
2023-01-01,PRD-005,Custom Valve Assembly,Fluid Power,South,0,387.5,Diana Torres,
2023-01-01,PRD-006,Emergency Shutdown Unit,Safety,Midwest,0,892.0,Sarah Chen,
2023-01-01,PRD-006,Emergency Shutdown Unit,Safety,South,0,892.0,Diana Torres,
2023-01-01,PRD-007,Precision Gear Set,Power Transmission,Midwest,195,127.0,Sarah Chen,
2023-01-01,PRD-007,Precision Gear Set,Power Transmission,South,130,127.0,Diana Torres,
2023-02-01,PRD-001,Industrial Conveyor Belt,Material Handling,Midwest,255,89.5,Sarah Chen,
2023-02-01,PRD-001,Industrial Conveyor Belt,Material Handling,South,170,89.5,Diana Torres,
2023-02-01,PRD-002,Hydraulic Actuator,Fluid Power,Midwest,211,142.0,Sarah Chen,
2023-02-01,PRD-002,Hydraulic Actuator,Fluid Power,South,140,142.0,Diana Torres,
2023-02-01,PRD-003,Legacy Control Panel,Electrical,Midwest,204,215.0,Sarah Chen,
2023-02-01,PRD-003,Legacy Control Panel,Electrical,South,0,215.0,Diana Torres,
2023-02-01,PRD-004,Smart Sensor Module,Automation,Midwest,0,445.0,Sarah Chen,
2023-02-01,PRD-004,Smart Sensor Module,Automation,South,0,445.0,Diana Torres,
2023-02-01,PRD-005,Custom Valve Assembly,Fluid Power,Midwest,99,387.5,Sarah Chen,
2023-02-01,PRD-005,Custom Valve Assembly,Fluid Power,South,66,387.5,Diana Torres,
2023-02-01,PRD-006,Emergency Shutdown Unit,Safety,Midwest,24,892.0,Sarah Chen,
2023-02-01,PRD-006,Emergency Shutdown Unit,Safety,South,16,892.0,Diana Torres,
2023-02-01,PRD-007,Precision Gear Set,Power Transmission,Midwest,175,127.0,Sarah Chen,
2023-02-01,PRD-007,Precision Gear Set,Power Transmission,South,117,127.0,Diana Torres,
2023-03-01,PRD-001,Industrial Conveyor Belt,Material Handling,Midwest,263,89.5,Sarah Chen,
2023-03-01,PRD-001,Industrial Conveyor Belt,Material Handling,South,175,89.5,Diana Torres,
2023-03-01,PRD-002,Hydraulic Actuator,Fluid Power,Midwest,233,142.0,Sarah Chen,
2023-03-01,PRD-002,Hydraulic Actuator,Fluid Power,South,0,142.0,Diana Torres,
2023-03-01,PRD-003,Legacy Control Panel,Electrical,Midwest,225,215.0,Sarah Chen,
2023-03-01,PRD-003,Legacy Control Panel,Electrical,South,150,215.0,Diana Torres,
2023-03-01,PRD-004,Smart Sensor Module,Automation,Midwest,0,445.0,Sarah Chen,
2023-03-01,PRD-004,Smart Sensor Module,Automation,South,0,445.0,Diana Torres,
2023-03-01,PRD-005,Custom Valve Assembly,Fluid Power,Midwest,0,387.5,Sarah Chen,
2023-03-01,PRD-005,Custom Valve Assembly,Fluid Power,South,0,387.5,Diana Torres,
2023-03-01,PRD-006,Emergency Shutdown Unit,Safety,Midwest,0,892.0,Sarah Chen,
2023-03-01,PRD-006,Emergency Shutdown Unit,Safety,South,100,892.0,Diana Torres,
2023-03-01,PRD-007,Precision Gear Set,Power Transmission,Midwest,174,127.0,Sarah Chen,
2023-03-01,PRD-007,Precision Gear Set,Power Transmission,South,116,127.0,Diana Torres,
2023-04-01,PRD-001,Industrial Conveyor Belt,Material Handling,Midwest,306,89.5,Sarah Chen,
2023-04-01,PRD-001,Industrial Conveyor Belt,Material Handling,South,204,89.5,Diana Torres,
2023-04-01,PRD-002,Hydraulic Actuator,Fluid Power,Midwest,274,142.0,Sarah Chen,
2023-04-01,PRD-002,Hydraulic Actuator,Fluid Power,South,0,142.0,Diana Torres,Returns - adjusted to 0
2023-04-01,PRD-003,Legacy Control Panel,Electrical,Midwest,199,215.0,Sarah Chen,
2023-04-01,PRD-003,Legacy Control Panel,Electrical,South,133,215.0,Diana Torres,
2023-04-01,PRD-004,Smart Sensor Module,Automation,Midwest,0,445.0,Sarah Chen,
2023-04-01,PRD-004,Smart Sensor Module,Automation,South,0,445.0,Diana Torres,
2023-04-01,PRD-005,Custom Valve Assembly,Fluid Power,Midwest,146,387.5,Sarah Chen,
2023-04-01,PRD-005,Custom Valve Assembly,Fluid Power,South,97,387.5,Diana Torres,
2023-04-01,PRD-006,Emergency Shutdown Unit,Safety,Midwest,166,892.0,Sarah Chen,
2023-04-01,PRD-006,Emergency Shutdown Unit,Safety,South,111,892.0,Diana Torres,
2023-04-01,PRD-007,Precision Gear Set,Power Transmission,Midwest,183,127.0,Sarah Chen,
2023-04-01,PRD-007,Precision Gear Set,Power Transmission,South,122,127.0,Diana Torres,
2023-05-01,PRD-001,Industrial Conveyor Belt,Material Handling,Midwest,283,89.5,Sarah Chen,
2023-05-01,PRD-001,Industrial Conveyor Belt,Material Handling,South,0,89.5,Diana Torres,
2023-05-01,PRD-002,Hydraulic Actuator,Fluid Power,Midwest,223,142.0,Sarah Chen,
2023-05-01,PRD-002,Hydraulic Actuator,Fluid Power,South,148,142.0,Diana Torres,
2023-05-01,PRD-003,Legacy Control Panel,Electrical,Midwest,198,215.0,Sarah Chen,
2023-05-01,PRD-003,Legacy Control Panel,Electrical,South,132,215.0,Diana Torres,
2023-05-01,PRD-004,Smart Sensor Module,Automation,Midwest,0,445.0,Sarah Chen,
2023-05-01,PRD-004,Smart Sensor Module,Automation,South,0,445.0,Diana Torres,
2023-05-01,PRD-005,Custom Valve Assembly,Fluid Power,Midwest,0,387.5,Sarah Chen,
2023-05-01,PRD-005,Custom Valve Assembly,Fluid Power,South,0,387.5,Diana Torres,
2023-05-01,PRD-006,Emergency Shutdown Unit,Safety,Midwest,0,892.0,Sarah Chen,
2023-05-01,PRD-006,Emergency Shutdown Unit,Safety,South,0,892.0,Diana Torres,
2023-05-01,PRD-007,Precision Gear Set,Power Transmission,Midwest,166,127.0,Sarah Chen,
2023-05-01,PRD-007,Precision Gear Set,Power Transmission,South,110,127.0,Diana Torres,
2023-06-01,PRD-001,Industrial Conveyor Belt,Material Handling,Midwest,276,89.5,Sarah Chen,
2023-06-01,PRD-001,Industrial Conveyor Belt,Material Handling,South,184,89.5,Diana Torres,
2023-06-01,PRD-002,Hydraulic Actuator,Fluid Power,Midwest,130,142.0,Sarah Chen,
2023-06-01,PRD-002,Hydraulic Actuator,Fluid Power,South,86,142.0,Diana Torres,
2023-06-01,PRD-003,Legacy Control Panel,Electrical,Midwest,188,215.0,Sarah Chen,
2023-06-01,PRD-003,Legacy Control Panel,Electrical,South,125,215.0,Diana Torres,
