date,product_id,product_name,category,region,units_sold,unit_price,sales_rep,notes
01/01/2023,PRD-001,Industrial Conveyor Belt,Material Handling,Midwest,,89.5,Sarah Chen,
2023-01-01,prd-001,Industrial Conveyor Belt,Material Handling,South,151,89.5,Diana Torres,
January 2023,PRD_002,Hydraulic Actuator,Fluid Power,Midwest,192,142.0,Sarah Chen,
1/1/2023,Prd002,Hydraulic Actuator,Fluid Power,South,128,142.0,Diana Torres,
01/01/2023,PRD-003,Legacy Control Panel,Electrical,Midwest,208,215.0,Sarah Chen,
2023-01-01,prd-003,Legacy Control Panel,Electrical,South,138,215.0,Diana Torres,
January 2023,PRD_004,Smart Sensor Module,Automation,Midwest,0,445.0,Sarah Chen,
1/1/2023,Prd004,Smart Sensor Module,Automation,South,0,445.0,Diana Torres,
01/01/2023,PRD-005,Custom Valve Assembly,Fluid Power,Midwest,0,387.5,Sarah Chen,
2023-01-01,prd-005,Custom Valve Assembly,Fluid Power,South,0,387.5,Diana Torres,
January 2023,PRD_006,Emergency Shutdown Unit,Safety,Midwest,0,892.0,Sarah Chen,
January 2023,PRD_006,Emergency Shutdown Unit,Safety,Midwest,3,892.0,Sarah Chen,
1/1/2023,Prd006,Emergency Shutdown Unit,Safety,South,0,892.0,Diana Torres,
01/01/2023,PRD-007,Precision Gear Set,Power Transmission,Midwest,195,127.0,Sarah Chen,
2023-01-01,prd-007,Precision Gear Set,Power Transmission,South,130,127.0,Diana Torres,
February 2023,PRD_001,Industrial Conveyor Belt,Material Handling,Midwest,255,89.5,Sarah Chen,
2/1/2023,Prd001,Industrial Conveyor Belt,Material Handling,South,170,89.5,Diana Torres,
02/01/2023,PRD-002,Hydraulic Actuator,Fluid Power,Midwest,211,142.0,Sarah Chen,
2023-02-01,prd-002,Hydraulic Actuator,Fluid Power,South,140,142.0,Diana Torres,
February 2023,PRD_003,Legacy Control Panel,Electrical,Midwest,204,215.0,Sarah Chen,
2/1/2023,Prd003,Legacy Control Panel,Electrical,South,,215.0,Diana Torres,
02/01/2023,PRD-004,Smart Sensor Module,Automation,Midwest,0,445.0,Sarah Chen,
2023-02-01,prd-004,Smart Sensor Module,Automation,South,0,445.0,Diana Torres,
February 2023,PRD_005,Custom Valve Assembly,Fluid Power,Midwest,99,387.5,Sarah Chen,
2/1/2023,Prd005,Custom Valve Assembly,Fluid Power,South,66,387.5,Diana Torres,
02/01/2023,PRD-006,Emergency Shutdown Unit,Safety,Midwest,24,892.0,Sarah Chen,
2023-02-01,prd-006,Emergency Shutdown Unit,Safety,South,16,892.0,Diana Torres,
February 2023,PRD_007,Precision Gear Set,Power Transmission,Midwest,175,127.0,Sarah Chen,
2/1/2023,Prd007,Precision Gear Set,Power Transmission,South,117,127.0,Diana Torres,
03/01/2023,PRD-001,Industrial Conveyor Belt,Material Handling,Midwest,263,89.5,Sarah Chen,
2023-03-01,prd-001,Industrial Conveyor Belt,Material Handling,South,175,89.5,Diana Torres,
March 2023,PRD_002,Hydraulic Actuator,Fluid Power,Midwest,233,142.0,Sarah Chen,
3/1/2023,Prd002,Hydraulic Actuator,Fluid Power,South,N/A,142.0,Diana Torres,
03/01/2023,PRD-003,Legacy Control Panel,Electrical,Midwest,225,215.0,Sarah Chen,
2023-03-01,prd-003,Legacy Control Panel,Electrical,South,150,215.0,Diana Torres,
March 2023,PRD_004,Smart Sensor Module,Automation,Midwest,0,445.0,Sarah Chen,
3/1/2023,Prd004,Smart Sensor Module,Automation,South,0,445.0,Diana Torres,
03/01/2023,PRD-005,Custom Valve Assembly,Fluid Power,Midwest,0,387.5,Sarah Chen,
2023-03-01,prd-005,Custom Valve Assembly,Fluid Power,South,0,387.5,Diana Torres,
March 2023,PRD_006,Emergency Shutdown Unit,Safety,Midwest,,892.0,Sarah Chen,
3/1/2023,Prd006,Emergency Shutdown Unit,Safety,South,100,892.0,Diana Torres,
03/01/2023,PRD-007,Precision Gear Set,Power Transmission,Midwest,174,127.0,Sarah Chen,
2023-03-01,prd-007,Precision Gear Set,Power Transmission,South,116,127.0,Diana Torres,
April 2023,PRD_001,Industrial Conveyor Belt,Material Handling,Midwest,306,89.5,Sarah Chen,
